COUNTRY,Capitol,Center,CapitolDecimal,CenterDecimal,kmDistance,mileDistance,latPlotPoint,lonPlotPoint,Continent,capitalName,
Morocco,"34 01 N, 6 49 W","32 00 N, 5 00 W","34.016666666666666, -6.816666666666666","32.0, -5.0",281.1105143,174.6740368,-1.81667,2.01667,Africa,Rabat,
Mozambique,"25 57 S, 32 35 E","18 15 S, 35 00 E","-25.95, 32.583333333333336","-18.25, 35.0",891.8678645,554.1811931,-2.41667,-7.7,Africa,Maputo,
Namibia,"22 34 S, 17 05 E","22 00 S, 17 00 E","-22.566666666666666, 17.083333333333332","-22.0, 17.0",63.61111446,39.52612792,0.08333,-0.56667,Africa,Windhoek,
Nepal,"27 43 N, 85 19 E","28 00 N, 84 00 E","27.716666666666665, 85.31666666666666","28.0, 84.0",133.2589308,82.80328983,1.31667,-0.28333,Asia,Kathmandu,
Netherlands,"52 21 N, 4 55 E","52 30 N, 5 45 E","52.35, 4.916666666666667","52.5, 5.75",58.93387592,36.61982562,-0.83333,-0.15,Europe,Amsterdam,
New Caledonia,"22 16 S, 166 27 E","21 30 S, 165 30 E","-22.266666666666666, 166.45","-21.5, 165.5",129.9478701,80.74589134,0.95,-0.76667,Oceania,Noumea,
New Zealand,"41 18 S, 174 47 E","41 00 S, 174 00 E","-41.3, 174.78333333333333","-41.0, 174.0",73.60594181,45.7366279,0.78333,-0.3,Oceania,Wellington,
Nicaragua,"12 08 N, 86 15 W","13 00 N, 85 00 W","12.133333333333333, -86.25","13.0, -85.0",166.4590188,103.4328753,-1.25,-0.86667,North America,Managua,
Nigeria,"9 05 N, 7 32 E","16 00 N, 8 00 E","9.083333333333334, 7.533333333333333","16.0, 8.0",771.0040685,479.0798857,-0.46667,-6.91667,Africa,Abuja,
Niger,"13 31 N, 2 07 E","10 00 N, 8 00 E","13.516666666666667, 2.1166666666666667","10.0, 8.0",750.5346894,466.3607987,-5.88333,3.51667,Africa,Niamey,
Niue,"19 01 S, 169 55 W","19 02 S, 169 52 W","-19.016666666666666, -169.91666666666666","-19.033333333333335, -169.86666666666667",5.574955559,3.464118,-0.05,0.01667,Oceania,Alofi,
